"filename", "language", "toml", "pip requirements", "Python", "comment", "blank", "total"
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\fonctions\migrations\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\fonctions\models.py", "Python", 0, 0, 11, 1, 4, 16
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\fonctions\serializer.py", "Python", 0, 0, 13, 1, 5, 19
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\fonctions\tests.py", "Python", 0, 0, 1, 1, 2, 4
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\fonctions\urls.py", "Python", 0, 0, 6, 5, 3, 14
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\fonctions\views.py", "Python", 0, 0, 100, 152, 48, 300
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\formules\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\formules\admin.py", "Python", 0, 0, 1, 1, 2, 4
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\formules\apps.py", "Python", 0, 0, 3, 0, 3, 6
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\formules\migrations\0001_initial.py", "Python", 0, 0, 47, 1, 7, 55
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\formules\migrations\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\formules\models.py", "Python", 0, 0, 23, 1, 6, 30
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\formules\serializer.py", "Python", 0, 0, 21, 0, 8, 29
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\formules\tests.py", "Python", 0, 0, 1, 1, 2, 4
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\formules\urls.py", "Python", 0, 0, 7, 0, 4, 11
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\formules\views.py", "Python", 0, 0, 139, 5, 25, 169
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\rubriques\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\rubriques\admin.py", "Python", 0, 0, 1, 1, 2, 4
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\rubriques\apps.py", "Python", 0, 0, 3, 0, 3, 6
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\rubriques\migrations\0001_initial.py", "Python", 0, 0, 25, 1, 7, 33
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\rubriques\migrations\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\rubriques\models.py", "Python", 0, 0, 11, 0, 3, 14
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\rubriques\serializer.py", "Python", 0, 0, 12, 0, 3, 15
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\rubriques\tests.py", "Python", 0, 0, 1, 1, 2, 4
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\rubriques\urls.py", "Python", 0, 0, 6, 0, 3, 9
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\rubriques\views.py", "Python", 0, 0, 82, 2, 16, 100
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\traitements\__init__.py", "Python", 0, 0, 0, 0, 1, 1
